Open Time,Open,High,Low,Close,Volume
2024-11-29 04:48:00,3.09350000,3.11010000,3.09300000,3.10610000,121723.50000000
2024-11-29 04:51:00,3.10580000,3.10890000,3.09500000,3.10530000,145261.50000000
2024-11-29 04:54:00,3.10520000,3.11720000,3.10000000,3.10570000,138743.10000000
2024-11-29 04:57:00,3.10490000,3.10600000,3.09710000,3.10050000,213532.80000000
2024-11-29 05:00:00,3.10020000,3.13650000,3.09960000,3.13500000,215895.80000000
2024-11-29 05:03:00,3.13490000,3.13700000,3.12000000,3.12450000,267660.10000000
2024-11-29 05:06:00,3.12400000,3.12770000,3.06000000,3.07390000,384090.20000000
2024-11-29 05:09:00,3.07200000,3.09530000,3.00760000,3.05830000,1330322.10000000
2024-11-29 05:12:00,3.05780000,3.06070000,2.90000000,2.91890000,3206497.90000000
2024-11-29 05:15:00,2.91890000,2.97000000,2.89000000,2.96630000,1048419.70000000
2024-11-29 05:18:00,2.96820000,2.97000000,2.90260000,2.94000000,713662.80000000
2024-11-29 05:21:00,2.94000000,3.00480000,2.93200000,2.99540000,716034.00000000
2024-11-29 05:24:00,2.99400000,3.00270000,2.97290000,2.97580000,386996.80000000
2024-11-29 05:27:00,2.97620000,2.99660000,2.95000000,2.99000000,209995.30000000
2024-11-29 05:30:00,2.99000000,2.99260000,2.96280000,2.96570000,238967.10000000
2024-11-29 05:33:00,2.96520000,2.96590000,2.92610000,2.96140000,498653.40000000
2024-11-29 05:36:00,2.96200000,2.97630000,2.95150000,2.97140000,194661.10000000
2024-11-29 05:39:00,2.97150000,2.97860000,2.95050000,2.95600000,178950.70000000
2024-11-29 05:42:00,2.95610000,2.98000000,2.95190000,2.97500000,104323.10000000
2024-11-29 05:45:00,2.97360000,2.97850000,2.96180000,2.96520000,173474.20000000
2024-11-29 05:48:00,2.96480000,2.96570000,2.91860000,2.93680000,380000.90000000
2024-11-29 05:51:00,2.93630000,2.99300000,2.93630000,2.98610000,259965.80000000
2024-11-29 05:54:00,2.98590000,2.99180000,2.96910000,2.97900000,116245.30000000
2024-11-29 05:57:00,2.97900000,2.98240000,2.96480000,2.97630000,123214.00000000
2024-11-29 06:00:00,2.97660000,2.97660000,2.95370000,2.95520000,143665.60000000
2024-11-29 06:03:00,2.95580000,2.97140000,2.95210000,2.97010000,94873.10000000
2024-11-29 06:06:00,2.96980000,3.00000000,2.96360000,3.00000000,269292.10000000
2024-11-29 06:09:00,3.00000000,3.02510000,2.99540000,3.00220000,486358.90000000
2024-11-29 06:12:00,3.00220000,3.03000000,3.00020000,3.01880000,375905.80000000
2024-11-29 06:15:00,3.01880000,3.07330000,3.01410000,3.07100000,574631.00000000
2024-11-29 06:18:00,3.07010000,3.08130000,3.04670000,3.05330000,347490.40000000
2024-11-29 06:21:00,3.05340000,3.08310000,3.04000000,3.08220000,227428.80000000
2024-11-29 06:24:00,3.08230000,3.09740000,3.07130000,3.07310000,330186.80000000
2024-11-29 06:27:00,3.07400000,3.07620000,3.06000000,3.06450000,178422.60000000
2024-11-29 06:30:00,3.06440000,3.07500000,3.04500000,3.07500000,146003.40000000
2024-11-29 06:33:00,3.07500000,3.09880000,3.07500000,3.09350000,332326.80000000
2024-11-29 06:36:00,3.09440000,3.10990000,3.09140000,3.09140000,268189.50000000
2024-11-29 06:39:00,3.09140000,3.09780000,3.06420000,3.08080000,218442.20000000
2024-11-29 06:42:00,3.08090000,3.13200000,3.07000000,3.11340000,343110.80000000
2024-11-29 06:45:00,3.11360000,3.17540000,3.08660000,3.08820000,516024.90000000
2024-11-29 06:48:00,3.08900000,3.08900000,3.05000000,3.07620000,237728.50000000
2024-11-29 06:51:00,3.07620000,3.09620000,3.06800000,3.08320000,147062.80000000
2024-11-29 06:54:00,3.08420000,3.09000000,3.06950000,3.08530000,80289.00000000
2024-11-29 06:57:00,3.08530000,3.08550000,3.06190000,3.08360000,80947.80000000
2024-11-29 07:00:00,3.08480000,3.09140000,3.05930000,3.06800000,145005.00000000
2024-11-29 07:03:00,3.06810000,3.06850000,3.01720000,3.04360000,237269.70000000
2024-11-29 07:06:00,3.04410000,3.06470000,3.03830000,3.05050000,119615.30000000
2024-11-29 07:09:00,3.05020000,3.05050000,3.01290000,3.03870000,174022.20000000
2024-11-29 07:12:00,3.03680000,3.04500000,3.01810000,3.02740000,98165.10000000
2024-11-29 07:15:00,3.02610000,3.05000000,3.02010000,3.02770000,149738.20000000
2024-11-29 07:18:00,3.02770000,3.02770000,2.98010000,2.98990000,377731.50000000
2024-11-29 07:21:00,2.99000000,3.01660000,2.97720000,3.01290000,514686.40000000
2024-11-29 07:24:00,3.01230000,3.06220000,3.01030000,3.04490000,330175.90000000
2024-11-29 07:27:00,3.04530000,3.06270000,3.02170000,3.05130000,155888.10000000
2024-11-29 07:30:00,3.05020000,3.08000000,3.04780000,3.07120000,257283.80000000
2024-11-29 07:33:00,3.07040000,3.09570000,3.07000000,3.07210000,450469.50000000
2024-11-29 07:36:00,3.07240000,3.07590000,2.98500000,3.02980000,478569.90000000
2024-11-29 07:39:00,3.02990000,3.05010000,2.98050000,3.00820000,483230.70000000
2024-11-29 07:42:00,3.00820000,3.02880000,2.99900000,3.00630000,178587.20000000
2024-11-29 07:45:00,3.00750000,3.01890000,2.95400000,3.01430000,419726.40000000
2024-11-29 07:48:00,3.01160000,3.03000000,3.00760000,3.02580000,239794.40000000
2024-11-29 07:51:00,3.02420000,3.03290000,3.00710000,3.01860000,121095.20000000
2024-11-29 07:54:00,3.01850000,3.02500000,3.00230000,3.00770000,184339.00000000
2024-11-29 07:57:00,3.00790000,3.01590000,2.99000000,2.99670000,187754.20000000
2024-11-29 08:00:00,2.99670000,3.03390000,2.99330000,3.02930000,220167.20000000
2024-11-29 08:03:00,3.02920000,3.06230000,3.02520000,3.02660000,213740.20000000
2024-11-29 08:06:00,3.02530000,3.04210000,2.98470000,3.01730000,479034.30000000
2024-11-29 08:09:00,3.01710000,3.03940000,3.01390000,3.02610000,201328.40000000
2024-11-29 08:12:00,3.02770000,3.02940000,3.01550000,3.01620000,75345.00000000
2024-11-29 08:15:00,3.01780000,3.02670000,3.01500000,3.01700000,44553.60000000
2024-11-29 08:18:00,3.01690000,3.01880000,2.99700000,2.99870000,154596.80000000
2024-11-29 08:21:00,2.99930000,3.00160000,2.96790000,2.99400000,348750.60000000
2024-11-29 08:24:00,2.99340000,3.02050000,2.99280000,3.02050000,169687.70000000
2024-11-29 08:27:00,3.02060000,3.04310000,3.01930000,3.02370000,171570.70000000
2024-11-29 08:30:00,3.02250000,3.03690000,3.01290000,3.03300000,105794.80000000
2024-11-29 08:33:00,3.03290000,3.05290000,3.02110000,3.02280000,125439.90000000
2024-11-29 08:36:00,3.02420000,3.02750000,3.00000000,3.01790000,126768.50000000
2024-11-29 08:39:00,3.01780000,3.02250000,3.00000000,3.01830000,109010.30000000
2024-11-29 08:42:00,3.01740000,3.05340000,3.01400000,3.04660000,207100.10000000
2024-11-29 08:45:00,3.04600000,3.06080000,3.03250000,3.05610000,183517.70000000
2024-11-29 08:48:00,3.05360000,3.05750000,3.01780000,3.04270000,89097.60000000
2024-11-29 08:51:00,3.04260000,3.05840000,3.03590000,3.04130000,93625.90000000
2024-11-29 08:54:00,3.04180000,3.04670000,3.03230000,3.03480000,81184.50000000
2024-11-29 08:57:00,3.03600000,3.03950000,3.02370000,3.02760000,92750.20000000
2024-11-29 09:00:00,3.02750000,3.03090000,2.98690000,2.99970000,526717.50000000
2024-11-29 09:03:00,2.99970000,3.01050000,2.99730000,3.00200000,98870.40000000
2024-11-29 09:06:00,3.00200000,3.01530000,2.99520000,3.00400000,191314.30000000
2024-11-29 09:09:00,3.00420000,3.01110000,2.98000000,2.98500000,189164.40000000
2024-11-29 09:12:00,2.98430000,2.98480000,2.91000000,2.95960000,697292.90000000
2024-11-29 09:15:00,2.95820000,2.97460000,2.95110000,2.97010000,167789.60000000
2024-11-29 09:18:00,2.97080000,2.98900000,2.96620000,2.97880000,148426.20000000
2024-11-29 09:21:00,2.97860000,2.98700000,2.96500000,2.97240000,161497.40000000
2024-11-29 09:24:00,2.97190000,2.98000000,2.94670000,2.95070000,209684.80000000
2024-11-29 09:27:00,2.95070000,2.97990000,2.94670000,2.97490000,150500.50000000
2024-11-29 09:30:00,2.97440000,2.98780000,2.96710000,2.98190000,149959.50000000
2024-11-29 09:33:00,2.98270000,2.99000000,2.97080000,2.98790000,107103.50000000
2024-11-29 09:36:00,2.98790000,3.00410000,2.98500000,2.99540000,132330.50000000
2024-11-29 09:39:00,2.99460000,3.00000000,2.98390000,2.99660000,77863.80000000
2024-11-29 09:42:00,2.99670000,3.00000000,2.98390000,2.98990000,90325.30000000
2024-11-29 09:45:00,2.99020000,2.99250000,2.96870000,2.97370000,123139.40000000
2024-11-29 09:48:00,2.97340000,2.97920000,2.95010000,2.95390000,142719.60000000
